sp_f600xsp_f600,sp_f600xsp_f857,sp_f600xsp_f1200,sp_f857xsp_f857,sp_f857xsp_f1200,sp_f1200xsp_f1200
11565.075884196205,17120.473865275082,18254.1585759128,26555.6729556571,29591.94834325018,34624.261089284366
11542.12315266966,17087.530690776974,18221.26545858537,26505.476335885185,29538.766933075636,34564.31160440873
11519.338728213908,17054.788831529957,18188.530525056423,26455.527076048194,29485.792241623723,34504.55767192076
11496.820499849266,17022.431512003397,18156.166027434647,26406.15942847009,29433.4058376187,34445.42983193108
11474.374445475316,16990.189878697543,18123.921059979908,26356.981917218545,29381.220455653598,34386.51894753012
11451.928058166823,16957.962396817864,18091.70955293148,26307.847014638442,29329.112882872054,34327.73865012887
11429.50829614268,16925.779879746442,18059.554600810538,26258.791713772865,29277.111829156896,34269.110613160825
11407.436487185494,16894.004702415103,18027.70716105284,26210.215656038956,29225.47538631133,34210.76385141023
11385.389277436536,16862.26877547024,17995.900380495852,26161.703782126642,29173.906841053944,34152.490196291605
11363.386447364697,16830.612699325266,17964.18070501084,26113.32943383891,29122.487039929423,34094.37807462948
11341.45919591715,16799.05549012359,17932.544733553306,26065.085544766946,29071.17968558581,34036.365701903305
11319.778873899275,16767.825191932967,17901.19287914702,26017.280339529527,29020.26049178878,33978.70420244175
11298.087250543822,16736.57984073864,17869.82643168081,25969.452630080385,28969.3181856325,33921.018344994234
11276.496065974517,16705.449607941242,17838.54544208493,25921.757486704497,28918.476202243903,33863.41256280478
11255.107179277396,16674.56322127307,17807.45697578872,25874.360268815522,28867.87452638143,33806.00730760007
11233.687841911802,16643.624615337005,17776.308810754184,25826.87397328987,28817.171600681388,33748.487647595524
11212.230763336285,16612.623676713203,17745.092190498537,25779.285707298164,28766.35763270317,33690.84798921976
11190.719920044634,16581.5479800231,17713.8051803497,25731.595115286524,28715.44881165484,33633.121867575144
11169.351410671812,16550.722208418163,17682.799087942,25684.343509022277,28665.033939344066,33575.95252773406
11148.208594023925,16520.249541042573,17652.150373249988,25637.660530265624,28615.21655957567,33519.44077405233
11127.288291391129,16490.05294445689,17621.72424758146,25591.336319745104,28565.712525373972,33463.239956834135
11106.401552360241,16459.922677065242,17591.390298865637,25545.14144051748,28516.387348968525,33407.28607055412
11085.542246797293,16429.828779226536,17561.100171644157,25499.004332114666,28467.145783291184,33351.46339570492
11064.703461661666,16399.784938371376,17530.889881491166,25452.979720017727,28418.07432050333,33295.88747160237
11043.902133327154,16369.820469228254,17500.79432190313,25407.118891316553,28369.236197458315,33240.643109716795
11023.33746029819,16340.159194763779,17470.96539687284,25361.66637697212,28320.78690730651,33185.812393423876
11003.019674300964,16310.862448440348,17441.490893301685,25316.77501049285,28272.906849740244,33131.58456609101
10982.758663606144,16281.65628102347,17412.10927177458,25272.031865540972,28225.18234427971,33077.52334715271
10962.506283747545,16252.468574137481,17382.75755444418,25227.32812904172,28177.52164620784,33023.565462365055
10942.299001726915,16223.347328242235,17353.483370380567,25182.73398541398,28130.00353525456,32969.81075198567
10922.421696298996,16194.603482771465,17324.486906677495,25138.57504819122,28082.809726322004,32916.30295268521
10902.58255969368,16165.920522767987,17295.55347142981,25094.515638056895,28035.72111388008,32862.90827868405
10882.861060575631,16137.430007180039,17266.821504214204,25050.77445191609,27988.97038761708,32809.87735021026
10863.189689149141,16109.020607331648,17238.1735219451,25007.16472846797,27942.356612007836,32756.990155277243
10843.656391177376,16080.782481972697,17209.664217145317,24963.76568901204,27895.912290745284,32704.23834045216
10824.133172677819,16052.563997251986,17181.17702252655,24920.400932930133,27849.505582051457,32651.52772279062
10804.709257618313,16024.48879938603,17152.83139959564,24877.253673678082,27803.325246127843,32599.065469325345
10785.525890275052,15996.688621720532,17124.694417162067,24834.43338645289,27757.410892480544,32546.84566090825
10766.341210424513,15968.881457142596,17096.546897425633,24791.59783822987,27711.477713238477,32494.60460599404
10747.082502826892,15940.969348696306,17068.299387106443,24748.612901641056,27665.401607082167,32442.226266514706
10727.657233805143,15912.812230936857,17039.810121513932,24705.266952471597,27618.968782798274,32389.495055425927
10708.371743849257,15884.900246340432,17011.596227504648,24662.351329506135,27573.020034037694,32337.309428120367
10689.1769479655,15857.1414103847,16983.548379286505,24619.697590697346,27527.358762475524,32285.443460120747
10670.234597979892,15829.708378101644,16955.779254528585,24577.48854437725,27482.112648919836,32234.017255449733
10651.342879349486,15802.334223319713,16928.052837742984,24535.349332252146,27436.91946186494,32182.63483254693
10632.490030303636,15775.013069659672,16900.38168143674,24493.29080743406,27391.820355980093,32131.372263872756
10613.664550922138,15747.703684190092,16872.70551713393,24451.222504580415,27346.70181479427,32080.098140980648
10594.852269133462,15720.42495171107,16845.075876125993,24409.219840548845,27301.67917041751,32028.961390635464
10576.071277640414,15693.188216330927,16817.487610682223,24367.278086698054,27256.723857631605,31977.909954547897
