pl_f217xpl_f217,pl_f217xpl_f353,pl_f217xpl_f545,pl_f217xpl_f857,pl_f353xpl_f353,pl_f353xpl_f545,pl_f353xpl_f857,pl_f545xpl_f545,pl_f545xpl_f857,pl_f857xpl_f857
85.48007155297068,318.61245139146,701.340475344337,1002.6134055110745,1225.4562644521857,2796.8474928960054,4097.427339431837,6747.224824712361,10461.039484854326,17558.191895255975
85.37517812851446,318.2088760120736,700.4705607779105,1001.4879553662349,1223.8582841112466,2793.2630452471317,4092.6009676938,6738.656650483941,10448.622234144148,17538.33276371017
85.27095134809713,317.8079461615466,699.6060496710262,1000.368192394495,1222.2708426577979,2789.7002638439967,4087.7976697727727,6730.133724575971,10436.254902530252,17518.533861577405
85.16798568651642,317.4121756257047,698.7526285649092,999.2604669532532,1220.7046926156509,2786.1837142273353,4083.0450424156825,6721.712646586549,10424.000848327225,17498.862863879345
85.06502054887734,317.0164073234481,697.8992134199856,998.15275224026,1219.1385522301343,2782.6671909303777,4078.292463406171,6713.291643132703,10411.746937444592,17479.19216094863
84.96210274145008,316.6208294817818,697.0462929198859,997.0458466801663,1217.573204119013,2779.15280762508,4073.5435322856792,6704.876674788691,10399.503753517993,17459.54125728105
84.85870083616865,316.2237810005463,696.1914674794853,995.9379118553709,1216.0034329482633,2775.632918182678,4068.792151063637,6696.45598740895,10387.260786092624,17439.898461186836
84.75529077136831,315.8267225579459,695.3368603308504,994.8307201403472,1214.433768950808,2772.1142101353926,4064.0441130637746,6688.039849908451,10375.027930502616,17420.27572912867
84.65226472127257,315.43119124918815,694.4862057319157,993.7305156771424,1212.8702045448626,2768.6114469152863,4059.3247717476916,6679.666016479223,10362.872696549268,17400.79768219732
84.54891528838729,315.0347320305293,693.6342247499161,992.6293023390824,1211.3038680708705,2765.1044015506013,4054.60179611898,6671.284645741473,10350.710061631278,17381.311445476633
84.44535189158782,314.63768790173356,692.7815196239433,991.5276778858793,1209.7359324899576,2761.595380611105,4049.877710744996,6662.900857071601,10338.546126686908,17361.824666014494
84.34198565096186,314.24150259948215,691.9312352016252,990.4301618633617,1208.1718688779893,2758.0976265913946,4045.1733742288625,6654.550776262029,10326.44286292241,17342.449565737475
84.23923279343273,313.84777670732194,691.0860891834576,989.3384007292,1206.6176679673767,2754.6205145012887,4040.4924697164706,6646.244472143064,10314.391889170523,17323.145576671028
84.1377775986052,313.45894800076144,690.2499480619911,988.2547551457305,1205.081852693415,2751.176751801232,4035.8409517979844,6637.996647676315,10302.389843117977,17303.880451748293
84.03647929460165,313.0706952977124,689.4148661600013,987.1721482713731,1203.5481760531152,2747.7370284309386,4031.193605709095,6629.756945235578,10290.39713396543,17284.627787773443
83.93533440884421,312.68313465329607,688.5818133028528,986.0931070259401,1202.017775632251,2744.3072876223464,4026.564299462975,6621.5484792206735,10278.46177094027,17265.480986518927
83.83414619247738,312.29536012899575,687.7481702575207,985.0132738424888,1200.4863305430902,2740.874689274375,4021.931202349212,6613.332281618039,10266.516357046663,17246.32171998095
83.73322161871106,311.90889623292196,686.918457982408,983.9398615441016,1198.9614820061956,2737.462032404523,4017.3308622309514,6605.176679276479,10254.670866805314,17227.327788688643
83.63232247222199,311.52254500701713,686.0890634429921,982.8670316059442,1197.4371362923612,2734.050799138102,4012.7331164384404,6597.0251190286945,10242.832735290798,17208.347414827644
83.5316465357626,311.1371418529948,685.2622931509908,981.7992859891492,1195.916819097372,2730.6507240109618,4008.1570090008536,6588.904497439213,10231.05469401692,17189.48401692957
83.43095152282147,310.75171645191136,684.4357223364298,980.7322081816494,1194.3966014866962,2727.2517864852653,4003.58399908555,6580.78832622297,10219.286387050961,17170.64009838652
83.33076416502215,310.36846255646947,683.6145306984571,979.6728299488673,1192.8856635224083,2723.875792432799,3999.0440529444295,6572.729419956941,10207.603708922552,17151.93535392697
83.23149142829487,309.98901565754875,682.8017323769874,978.6228757144777,1191.3906817979969,2720.535120212988,3994.543898511806,6564.748998075187,10196.010114759434,17133.334149851944
83.13222029958098,309.60957311192385,681.9889418779933,977.5729327793124,1189.8957138049418,2717.1944776618116,3990.0437929590807,6556.768652683637,10184.416662290552,17114.733235051204
83.03289465572033,309.2300389761401,681.1763695399503,976.5240453285733,1188.4007889200982,2713.85543856601,3985.5488953791346,6548.795202130479,10172.840558816111,17096.17180946201
82.93416598568449,308.8531223928243,680.3692859515025,975.4805656539118,1186.9167567144307,2710.538399121806,3981.0752728665957,6540.865001883496,10161.306140714783,17077.652364357975
82.83565066148981,308.47730576430615,679.5649583429167,974.4408728494357,1185.4376843461318,2707.2329400331046,3976.617143667716,6532.961315196262,10149.808527981064,17059.18978321777
82.73724876523404,308.10217872326433,678.7630533608802,973.4060529842097,1183.9622722413321,2703.9393999734793,3972.182181543789,6525.094559398258,10138.38110241034,17040.860433806505
